movie_id,rank,movie_title,release_date,distributor,genre,gross_2024,tickets_sold,release_year
0,1,Inside Out 2,2024/06/14,Walt Disney,Adventure,652980194.0,57734765.0,2024
1,2,Deadpool & Wolverine,2024/07/26,Walt Disney,Action,636745858.0,56299369.0,2024
2,3,Wicked,2024/11/22,Universal,Musical,432943285.0,38279689.0,2024
3,4,Moana 2,2024/11/27,Walt Disney,Musical,404017489.0,35722148.0,2024
4,5,Despicable Me 4,2024/07/03,Universal,Adventure,361004205.0,31919028.0,2024
5,6,Beetlejuice Beetlejuice,2024/09/06,Warner Bros.,Comedy,294100435.0,26003575.0,2024
6,7,Dune: Part Two,2024/03/01,Warner Bros.,Action,282709065.0,24996381.0,2024
7,8,Twisters,2024/07/19,Universal,Thriller/Suspense,267762265.0,23674824.0,2024
8,9,Godzilla x Kong: The New Em…,2024/03/29,Warner Bros.,Action,196805338.0,17401002.0,2024
9,10,Kung Fu Panda 4,2024/03/08,Universal,Comedy,193590620.0,17116766.0,2024
10,11,Bad Boys: Ride or Die,2024/06/07,Sony Pictures,Action,193573217.0,17115227.0,2024
11,12,Kingdom of the Planet of th…,2024/05/10,20th Century Studios,Action,171130165.0,15130872.0,2024
12,13,Gladiator II,2024/11/22,Paramount Pictures,Action,164554921.0,14549507.0,2024
13,14,Sonic the Hedgehog 3,2024/12/20,Paramount Pictures,Adventure,151558894.0,13400433.0,2024
14,15,It Ends With Us,2024/08/09,Sony Pictures,Drama,148518266.0,13131589.0,2024
15,16,The Wild Robot,2024/09/27,Universal,Adventure,143190445.0,12660517.0,2024
16,17,Venom: The Last Dance,2024/10/25,Sony Pictures,Action,139733580.0,12354870.0,2024
17,18,A Quiet Place: Day One,2024/06/28,Paramount Pictures,Horror,139051884.0,12294596.0,2024
18,19,Mufasa: The Lion King,2024/12/20,Walt Disney,Musical,128143945.0,11330145.0,2024
19,20,Ghostbusters: Frozen Empire,2024/03/22,Sony Pictures,Comedy,113376590.0,10024455.0,2024
20,21,IF,2024/05/17,Paramount Pictures,Comedy,111375918.0,9847561.0,2024
21,22,Alien: Romulus,2024/08/16,20th Century Studios,Horror,105313091.0,9311502.0,2024
22,23,Bob Marley: One Love,2024/02/14,Paramount Pictures,Drama,96981216.0,8574820.0,2024
23,24,Red One,2024/11/15,Amazon MGM Studios,Action,96805881.0,8559318.0,2024
24,25,The Fall Guy,2024/05/03,Universal,Action,92900355.0,8214001.0,2024
25,26,The Garfield Movie,2024/05/24,Sony Pictures,Adventure,91956547.0,8130552.0,2024
26,27,Wonka,2023/12/15,Warner Bros.,Musical,85451913.0,7555430.0,2023
27,28,Longlegs,2024/07/12,Neon,Horror,74346140.0,6573487.0,2024
28,29,Migration,2023/12/22,Universal,Adventure,73526925.0,6501054.0,2023
29,30,Mean Girls,2024/01/12,Paramount Pictures,Musical,72581770.0,6417486.0,2024
30,31,Smile 2,2024/10/18,Paramount Pictures,Horror,69012586.0,6101909.0,2024
31,32,Civil War,2024/04/12,A24,Action,68757539.0,6079358.0,2024
32,33,Furiosa: A Mad Max Saga,2024/05/24,Warner Bros.,Action,67587546.0,5975910.0,2024
33,34,The Beekeeper,2024/01/12,Amazon MGM Studios,Action,66220535.0,5855043.0,2024
34,35,Anyone But You,2023/12/22,Sony Pictures,Romantic Comedy,63482283.0,5612934.0,2023
35,36,Transformers One,2024/09/20,Paramount Pictures,Adventure,59098421.0,5225325.0,2024
36,37,Joker: Folie à Deux,2024/10/04,Warner Bros.,Thriller/Suspense,58300287.0,5154756.0,2024
37,38,Terrifier 3,2024/10/11,Iconic/Cineverse,Horror,53981071.0,4772862.0,2024
38,39,Challengers,2024/04/26,Amazon MGM Studios,Drama,50119408.0,4431424.0,2024
39,40,Nosferatu,2024/12/25,Focus Features,Horror,48120015.0,4254643.0,2024
40,41,Aquaman and the Lost Kingdom,2023/12/22,Warner Bros.,Action,48011513.0,4245050.0,2023
41,42,Argylle,2024/02/02,Universal,Action,45207275.0,3997107.0,2024
42,43,Madame Web,2024/02/14,Sony Pictures,Action,43817106.0,3874192.0,2024
43,44,Trap,2024/08/02,Warner Bros.,Thriller/Suspense,42777281.0,3782253.0,2024
44,45,The Best Christmas Pageant …,2024/11/08,Lionsgate,Comedy,39802723.0,3519250.0,2024
45,46,Speak No Evil,2024/09/13,Universal,Horror,36931420.0,3265378.0,2024
46,47,The Strangers: Chapter 1,2024/05/17,Lionsgate,Horror,35202562.0,3112517.0,2024
47,48,Coraline,2009/02/06,Fathom Events,Adventure,33626425.0,2973159.0,2009
48,49,Night Swim,2024/01/05,Universal,Horror,32494740.0,2873098.0,2024
49,50,Conclave,2024/10/25,Focus Features,Thriller/Suspense,31289705.0,2766552.0,2024
50,51,The Boys in the Boat,2023/12/25,Amazon MGM Studios,Drama,30642834.0,2709358.0,2023
51,52,Reagan,2024/08/30,ShowBiz Direct,Drama,29397140.0,2599217.0,2024
52,53,The Forge,2024/08/23,Sony Pictures,Drama,29123632.0,2575034.0,2024
53,54,Horizon: An American Saga C…,2024/06/28,Warner Bros.,Western,29035702.0,2567259.0,2024
54,55,A Complete Unknown,2024/12/25,Searchlight Pictures,Drama,28501840.0,2520057.0,2024
55,56,Imaginary,2024/03/08,Lionsgate,Horror,28009161.0,2476495.0,2024
56,57,Heretic,2024/11/08,A24,Horror,27716205.0,2450593.0,2024
57,58,Abigail,2024/04/19,Universal,Horror,25867515.0,2287137.0,2024
58,59,Monkey Man,2024/04/05,Universal,Thriller/Suspense,25116955.0,2220774.0,2024
59,60,Arthur the King,2024/03/15,Lionsgate,Adventure,25049006.0,2214766.0,2024
60,61,We Live in Time,2024/10/11,A24,Drama,24690031.0,2183027.0,2024
61,62,Poor Things,2023/12/08,Searchlight Pictures,Black Comedy,24257189.0,2144756.0,2023
62,63,Blink Twice,2024/08/23,Amazon MGM Studios,Thriller/Suspense,23093906.0,2041902.0,2024
63,64,Kraven the Hunter,2024/12/13,Sony Pictures,Action,21915474.0,1937708.0,2024
64,65,The Bikeriders,2024/06/21,Focus Features,Drama,21746895.0,1922802.0,2024
65,66,The Ministry of Ungentleman…,2024/04/19,Lionsgate,Action,20535053.0,1815655.0,2024
66,67,Fly Me to the Moon,2024/07/12,Sony Pictures,Romantic Comedy,20532222.0,1815404.0,2024
67,68,Unsung Hero,2024/04/26,Lionsgate,Drama,20335239.0,1797988.0,2024
68,69,The First Omen,2024/04/05,20th Century Studios,Horror,20092802.0,1776552.0,2024
69,70,The Iron Claw,2023/12/22,A24,Drama,19646906.0,1737127.0,2023
70,71,Cabrini,2024/03/08,Angel Studios,Drama,19512135.0,1725211.0,2024
71,72,American Fiction,2023/12/15,Amazon MGM Studios,Comedy,19442987.0,1719097.0,2023
72,73,Ordinary Angels,2024/02/23,Lionsgate,Drama,19174421.0,1695351.0,2024
73,74,The Watchers,2024/06/07,Warner Bros.,Horror,19164028.0,1694432.0,2024
74,75,Tarot,2024/05/03,Sony Pictures,Horror,18771004.0,1659682.0,2024
75,76,Kalki 2898-AD,2024/06/27,Prathyangira Cine…,Action,18289575.0,1617115.0,2024
76,77,Demon Slayer: Kimetsu no Ya…,2024/02/23,Crunchyroll,Action,17657658.0,1561243.0,2024
77,78,Harold and the Purple Crayon,2024/08/02,Sony Pictures,Adventure,17640924.0,1559763.0,2024
78,79,The Color Purple,2023/12/25,Warner Bros.,Musical,16571549.0,1465212.0,2023
79,80,The Substance,2024/09/20,MUBI,Horror,16447054.0,1454205.0,2024
80,81,Immaculate,2024/03/22,Neon,Horror,15671306.0,1385615.0,2024
81,82,Borderlands,2024/08/09,Lionsgate,Action,15482668.0,1368936.0,2024
82,83,Interstellar,2014/11/07,Paramount Pictures,Adventure,15207563.0,1344612.0,2014
83,84,MaXXXine,2024/07/05,A24,Horror,15097633.0,1334892.0,2024
84,85,The Chosen: Season 4 Episod…,2024/02/01,Fathom Events,Drama,14409169.0,1274020.0,2024
85,86,Anora,2024/10/18,Neon,Comedy,14146804.0,1250823.0,2024
86,87,Homestead,2024/12/20,Angel Studios,Drama,13988821.0,1236854.0,2024
87,88,Star Wars Ep. I: The Phanto…,1999/05/19,20th Century Studios,Adventure,13029994.0,1152077.0,1999
88,89,Pushpa: The Rule — Part 2,2024/12/05,Prathyangira Cine…,Action,13000000.0,1149425.0,2024
89,90,Am I Racist?,2024/09/13,SDG Releasing,Documentary,12311598.0,1088559.0,2024
90,91,Here,2024/11/01,Sony Pictures,Drama,12237270.0,1081987.0,2024
91,92,Bonhoeffer: Pastor. Spy. As…,2024/11/22,Angel Studios,Thriller/Suspense,12121045.0,1071710.0,2024
92,93,Sound of Hope: The Story of…,2024/07/04,Angel Studios,Drama,11647099.0,1029805.0,2024
93,94,Godzilla Minus One,2023/12/01,Toho International,Action,11564257.0,1022481.0,2023
94,95,The Boy and the Heron,2023/12/08,GKIDS,Adventure,10986312.0,971380.0,2023
95,96,Never Let Go,2024/09/20,Lionsgate,Horror,10306106.0,911238.0,2024
96,97,Late Night with the Devil,2024/03/22,IFC Films,Horror,10001000.0,884262.0,2024
97,98,Lisa Frankenstein,2024/02/09,Focus Features,Comedy,9774285.0,864216.0,2024
98,99,Piece by Piece,2024/10/11,Focus Features,Documentary,9756635.0,862656.0,2024
99,100,Saturday Night,2024/10/11,Sony Pictures,Comedy,9511315.0,840965.0,2024
100,101,The Chosen: Season 4 Episod…,2024/02/15,Fathom Events,Drama,9482744.0,838439.0,2024
101,102,The Crow,2024/08/23,Lionsgate,Action,9275659.0,820129.0,2024
102,103,Babygirl,2024/12/25,A24,Thriller/Suspense,9186495.0,812245.0,2024
103,104,Thelma,2024/06/21,Magnolia Pictures,Action,9002073.0,795939.0,2024
104,105,The Lord of the Rings: The …,2024/12/13,Warner Bros.,Adventure,8755502.0,774138.0,2024
105,106,The Zone of Interest,2023/12/15,A24,Drama,8112670.0,717301.0,2023
106,107,Spy x Family Code: White,2024/04/19,Crunchyroll,Action,8110042.0,717068.0,2024
107,108,Love Lies Bleeding,2024/03/08,A24,Thriller/Suspense,7830385.0,692342.0,2024
108,109,Ferrari,2023/12/25,Neon,Drama,7771550.0,687140.0,2023
109,110,The Chosen: Season 4 Episod…,2024/02/29,Fathom Events,Drama,7729064.0,683383.0,2024
110,111,A Real Pain,2024/11/01,Searchlight Pictures,Comedy,7676866.0,678768.0,2024
111,112,Megalopolis,2024/09/27,Lionsgate,Drama,7629085.0,674543.0,2024
112,113,Sight,2024/05/24,Angel Studios,Drama,7206741.0,637201.0,2024
113,114,Haikyu!! The Dumpster Battle,2024/05/31,Crunchyroll,Drama,7071622.0,625254.0,2024
114,115,Afraid,2024/08/30,Sony Pictures,Horror,6726179.0,594711.0,2024
115,116,The Hunger Games: The Balla…,2023/11/17,Lionsgate,Action,6630969.0,586293.0,2023
116,117,I.S.S.,2024/01/19,Bleecker Street,Thriller/Suspense,6573799.0,581238.0,2024
117,118,Cuckoo,2024/08/09,Neon,Horror,6217731.0,549755.0,2024
118,119,Back to Black,2024/05/17,Focus Features,Drama,6178165.0,546257.0,2024
119,120,The Book of Clarence,2024/01/12,Sony Pictures,Comedy,6132813.0,542247.0,2024
120,121,The Nightmare Before Christmas,1993/10/13,Walt Disney,Musical,6124705.0,541530.0,1993
121,122,The Mummy,1999/05/07,Universal,Adventure,5978720.0,528622.0,1999
122,123,Someone Like You,2024/04/02,Fathom Events,Drama,5937306.0,524961.0,2024
123,124,One Life,2024/03/15,Bleecker Street,Drama,5716885.0,505472.0,2024
124,125,Devara Part 1,2024/09/27,Prathyangira Cine…,Action,5600000.0,495137.0,2024
125,126,The Killer’s Game,2024/09/13,Lionsgate,Action,5404378.0,477841.0,2024
126,127,My Old Ass,2024/09/13,Amazon MGM Studios,Comedy,5372282.0,475003.0,2024
127,128,The Lion King,1994/06/15,Walt Disney,Adventure,5082278.0,449361.0,1994
128,129,White Bird: A Wonder Story,2024/10/04,Lionsgate,Drama,5069171.0,448203.0,2024
129,130,My Hero Academia the Movie:…,2024/10/11,Toho International,Adventure,5041781.0,445781.0,2024
130,131,Kinds of Kindness,2024/06/21,Searchlight Pictures,Comedy,5038931.0,445529.0,2024
131,132,Drive-Away Dolls,2024/02/23,Focus Features,Comedy,5028215.0,444581.0,2024
132,133,The Fire Inside,2024/12/25,Amazon MGM Studios,Drama,5021220.0,443963.0,2024
133,134,Wicked Little Letters,2024/03/29,Sony Pictures Cla…,Black Comedy,5008179.0,442810.0,2024
134,135,I Saw the TV Glow,2024/05/03,A24,Horror,4949699.0,437639.0,2024
135,136,Dìdi (弟弟),2024/07/26,Focus Features,Drama,4839360.0,427883.0,2024
136,137,"Hello, Love, Again",2024/11/15,Abramorama Films,Drama,4800000.0,424403.0,2024
137,138,Origin,2023/12/08,Neon,Drama,4689831.0,414662.0,2023
138,139,Land of Bad,2024/02/16,The Avenue Entert…,Action,4620045.0,408492.0,2024
139,140,The Exorcism,2024/06/21,Vertical Entertai…,Horror,4530418.0,400567.0,2024
140,141,In a Violent Nature,2024/05/31,IFC Films,Horror,4229999.0,374005.0,2024
141,142,Fighter,2024/01/25,Viacom18 Motion P…,Action,4210000.0,372237.0,2024
142,143,Guntur Kaaram,2024/01/12,Prathyangira Cine…,Action,4100000.0,362511.0,2024
143,144,The Apprentice,2024/10/11,Briarcliff Entert…,Drama,4001910.0,353838.0,2024
144,145,Babes,2024/05/17,Neon,Comedy,3800038.0,335989.0,2024
145,146,Perfect Days,2023/11/10,Neon,Drama,3766668.0,333039.0,2023
146,147,Y2K,2024/12/06,A24,Comedy,3763863.0,332791.0,2024
147,148,Oppenheimer,2023/07/21,Universal,Drama,3761170.0,332553.0,2023
148,149,All of Us Strangers,2023/12/22,Searchlight Pictures,Drama,3703588.0,327461.0,2023
149,150,The Front Room,2024/09/06,A24,Horror,3609844.0,319173.0,2024
150,151,Wish,2023/11/22,Walt Disney,Adventure,3364674.0,297495.0,2023
151,152,Solo Leveling -ReAwakening-,2024/12/06,Sony Pictures,Action,3350693.0,296259.0,2024
152,153,God’s Not Dead: In God We T…,2024/09/12,Fathom Events,Drama,3269322.0,289065.0,2024
153,154,2024 Oscar Shorts,2024/02/16,ShortsHD,Multiple Genres,3162293.0,279602.0,2024
154,155,Strange Darling,2024/08/23,Magenta Light Stu…,Thriller/Suspense,3083595.0,272643.0,2024
155,156,The Long Game,2024/04/12,Mucho Mas Media,Drama,3060040.0,270561.0,2024
156,157,Jesus Thirsts: The Miracle …,2024/06/04,Fathom Events,Documentary,2927121.0,258808.0,2024
157,158,1992,2024/08/30,Lionsgate,Thriller/Suspense,2906073.0,256947.0,2024
158,159,The Fabulous Four,2024/07/26,Bleecker Street,Comedy,2854289.0,252369.0,2024
159,160,Queer,2024/11/27,A24,Drama,2837173.0,250855.0,2024
160,161,For King + Country: A Drumm…,2024/12/05,Fathom Events,Concert/Perfor…,2827417.0,249993.0,2024
161,162,White Christmas,1954/04/27,Fathom Events,Musical,2800094.0,247577.0,1954
162,163,Sing Sing,2024/07/12,A24,Drama,2778745.0,245689.0,2024
163,164,My Penguin Friend,2024/08/16,Roadside Attractions,Drama,2769460.0,244868.0,2024
164,165,Absolution,2024/11/01,Samuel Goldwyn Films,Drama,2715727.0,240117.0,2024
165,166,Dune,2021/10/22,Warner Bros.,Action,2703437.0,239031.0,2021
166,167,Ezra,2024/05/31,Bleecker Street,Comedy,2631451.0,232666.0,2024
167,168,Sight & Sound Presents: Dan…,2024/08/30,Fathom Events,Concert/Perfor…,2629933.0,232532.0,2024
168,169,Boy Kills World,2024/04/26,Roadside Attractions,Action,2626127.0,232195.0,2024
169,170,The Lord of the Rings: The …,2003/12/12,Fathom Events,Adventure,2566412.0,226915.0,2003
170,171,The Blue Angels,2024/05/17,Amazon MGM Studios,Documentary,2560945.0,226432.0,2024
171,172,Rite Here Rite Now,2024/06/20,Trafalgar Releasing,Concert/Perfor…,2550639.0,225521.0,2024
172,173,The Taste of Things,2024/02/14,IFC Films,Drama,2536148.0,224239.0,2024
173,174,Jung Kook: I Am Still,2024/09/18,Trafalgar Releasing,Concert/Perfor…,2500823.0,221116.0,2024
174,175,Tillu Square,2024/03/29,Prathyangira Cine…,Comedy,2500000.0,221043.0,2024
175,176,The American Society of Mag…,2024/03/15,Focus Features,Comedy,2480645.0,219332.0,2024
176,177,Summer Camp,2024/05/31,Roadside Attractions,Comedy,2403638.0,212523.0,2024
177,178,Princess Mononoke,1999/10/29,Fathom Events,Action,2400000.0,212202.0,1999
178,179,Howl's Moving Castle,2005/06/10,Fathom Events,Adventure,2384690.0,210848.0,2005
179,180,Hitpig!,2024/11/01,Viva Pictures,Adventure,2324019.0,205484.0,2024
180,181,Elevation,2024/11/08,Vertical Entertai…,Action,2321801.0,205287.0,2024
181,182,Exhuma,2024/03/15,Well Go USA,Horror,2310900.0,204324.0,2024
182,183,Alien,1979/05/25,20th Century Studios,Horror,2305647.0,203859.0,1979
183,184,Hanu Man,2024/01/12,Nirvana Studios,Action,2300000.0,203360.0,2024
184,185,In the Land of Saints and S…,2024/03/29,Samuel Goldwyn Films,Thriller/Suspense,2260013.0,199824.0,2024
185,186,Problemista,2023/03/08,A24,Comedy,2259752.0,199801.0,2023
186,187,Bhool Bhulaiyaa 3,2024/11/01,Shree Krishna Film,Comedy,2230000.0,197171.0,2024
187,188,Singham Again,2024/11/01,Moviegoers Entert…,Action,2190000.0,193634.0,2024
188,189,Flow,2024/11/22,Janus Films,Adventure,2187324.0,193397.0,2024
189,190,Stree 2,2024/08/16,Prathyangira Cine…,Comedy,2184000.0,193103.0,2024
190,191,The Holdovers,2023/10/27,Focus Features,Comedy,2146720.0,189807.0,2023
191,192,The Ark and the Darkness,2024/03/20,Fathom Events,Documentary,2097560.0,185461.0,2024
192,193,Between the Temples,2024/08/23,Sony Pictures Cla…,Comedy,2084121.0,184272.0,2024
193,194,Lee,2024/09/27,Roadside Attractions,Drama,2005488.0,177320.0,2024
194,195,Look Back,2024/10/04,GKIDS,Drama,2002270.0,177035.0,2024
195,196,YOLO,2024/03/08,Sony Pictures,Comedy,2001584.0,176975.0,2024
196,197,Queen Rock Montreal,2024/01/18,IMAX Films,Concert/Perfor…,2000000.0,176835.0,2024
197,198,Escape From Germany,2024/04/11,Susan Tuckett Media,Drama,1997845.0,176644.0,2024
198,199,The Order,2024/12/06,Vertical Entertai…,Thriller/Suspense,1980622.0,175121.0,2024
199,200,Suga | Agust D Tour ‘D-Day’…,2024/04/10,Trafalgar Releasing,Concert/Perfor…,1951896.0,172581.0,2024
200,201,Out of Darkness,2024/02/09,Bleecker Street,Horror,1951546.0,172550.0,2024
201,202,Werewolves,2024/12/06,Briarcliff Entert…,Horror,1903905.0,168338.0,2024
202,203,Blue Lock The Movie -Episod…,2024/06/28,Crunchyroll,Drama,1855384.0,164048.0,2024
203,204,Jatt & Juliet 3,2024/06/27,White Hill Studios,Romantic Comedy,1802000.0,159328.0,2024
204,205,The Firing Squad,2024/08/02,Atlas Distribution,Drama,1757110.0,155359.0,2024
205,206,City of Dreams,2024/08/30,Roadside Attractions,Thriller/Suspense,1713427.0,151497.0,2024
206,207,Hocus Pocus,1993/07/16,Walt Disney,Comedy,1706986.0,150927.0,1993
207,208,Crew,2024/03/29,Funasia Films,Comedy,1700000.0,150309.0,2024
208,209,Overlord: The Sacred Kingdom,2024/11/08,Sony Pictures,Adventure,1650280.0,145913.0,2024
209,210,Elf,2003/11/07,New Line,Comedy,1569855.0,138802.0,2003
210,211,Small Things Like These,2024/11/08,Roadside Attractions,Drama,1553562.0,137362.0,2024
211,212,Twister,1996/05/10,Warner Bros.,Action,1435369.0,126911.0,1996
212,213,Turning Red,2022/03/11,Walt Disney,Adventure,1399001.0,123696.0,2022
213,214,You Gotta Believe,2024/08/30,Well Go USA,Drama,1398975.0,123694.0,2024
214,215,Vindicating Trump,2024/09/27,SDG Releasing,Documentary,1372091.0,121317.0,2024
215,216,Something to Stand for with…,2024/06/27,Fathom Events,Documentary,1358690.0,120132.0,2024
216,217,Goodrich,2024/10/18,Ketchup Entertain…,Comedy,1351840.0,119526.0,2024
217,218,Anatomy of a Fall,2023/10/13,Neon,Drama,1328548.0,117467.0,2023
218,219,Luca,2021/06/18,Walt Disney,Adventure,1324302.0,117091.0,2021
219,220,The Polar Express,2004/11/10,Warner Bros.,Adventure,1312184.0,116020.0,2004
220,221,The End of Evangelion,2024/03/17,GKIDS,Action,1302300.0,115146.0,2024
221,222,Oddity,2024/07/19,IFC Films,Horror,1200477.0,106143.0,2024
222,223,Irena’s Vow,2024/04/15,Quiver,Drama,1193687.0,105543.0,2024
223,224,Spider-Man 2,2004/06/30,Sony Pictures,Adventure,1190570.0,105267.0,2004
224,225,Touch,2024/07/12,Focus Features,Drama,1174640.0,103859.0,2024
225,226,Kill,2024/07/04,Roadside Attractions,Action,1171487.0,103580.0,2024
226,227,Rad,1986/03/21,Fathom Events,Drama,1163250.0,102851.0,1986
227,228,The Roundup: Punishment,2024/04/26,Capelight Pictures,Action,1154475.0,102076.0,2024
228,229,Kneecap,2024/08/02,Sony Pictures Cla…,Comedy,1145143.0,101250.0,2024
